Model,DPO4032
Firmware Version,2.30

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.4
Sample Interval,0.0004
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,-0.113
Vertical Scale,0.01
Label,
TIME,CH1
-1.6720e-01,-0.112758
-1.6680e-01,-0.113058
-1.6640e-01,-0.112388
-1.6600e-01,-0.11283
-1.6560e-01,-0.112734
-1.6520e-01,-0.112947
-1.6480e-01,-0.112992
-1.6440e-01,-0.113316
-1.6400e-01,-0.112658
-1.6360e-01,-0.112906
-1.6320e-01,-0.113133
-1.6280e-01,-0.112984
-1.6240e-01,-0.113202
-1.6200e-01,-0.112884
-1.6160e-01,-0.113089
-1.6120e-01,-0.113083
-1.6080e-01,-0.112723
-1.6040e-01,-0.113123
-1.6000e-01,-0.112702
-1.5960e-01,-0.112798
-1.5920e-01,-0.112759
-1.5880e-01,-0.112508
-1.5840e-01,-0.112356
-1.5800e-01,-0.112256
-1.5760e-01,-0.112525
-1.5720e-01,-0.112747
-1.5680e-01,-0.112598
-1.5640e-01,-0.113417
-1.5600e-01,-0.112914
-1.5560e-01,-0.113083
-1.5520e-01,-0.112983
-1.5480e-01,-0.113402
-1.5440e-01,-0.112164
-1.5400e-01,-0.112925
-1.5360e-01,-0.113014
-1.5320e-01,-0.112767
-1.5280e-01,-0.113359
-1.5240e-01,-0.112978
-1.5200e-01,-0.112983
-1.5160e-01,-0.112848
-1.5120e-01,-0.113006
-1.5080e-01,-0.112627
-1.5040e-01,-0.112614
-1.5000e-01,-0.112552
-1.4960e-01,-0.112691
-1.4920e-01,-0.113336
-1.4880e-01,-0.113014
-1.4840e-01,-0.113005
-1.4800e-01,-0.113662
-1.4760e-01,-0.113513
-1.4720e-01,-0.112563
-1.4680e-01,-0.113414
-1.4640e-01,-0.112325
-1.4600e-01,-0.112678
-1.4560e-01,-0.112281
-1.4520e-01,-0.112194
-1.4480e-01,-0.112967
-1.4440e-01,-0.113666
-1.4400e-01,-0.113302
-1.4360e-01,-0.112528
-1.4320e-01,-0.113259
-1.4280e-01,-0.113256
-1.4240e-01,-0.111531
-1.4200e-01,-0.1133
-1.4160e-01,-0.112325
-1.4120e-01,-0.112881
-1.4080e-01,-0.112833
-1.4040e-01,-0.112844
-1.4000e-01,-0.112419
-1.3960e-01,-0.11218
-1.3920e-01,-0.11297
-1.3880e-01,-0.113241
-1.3840e-01,-0.113147
-1.3800e-01,-0.112552
-1.3760e-01,-0.112616
-1.3720e-01,-0.113103
-1.3680e-01,-0.112789
-1.3640e-01,-0.113403
-1.3600e-01,-0.11332
-1.3560e-01,-0.112486
-1.3520e-01,-0.112973
-1.3480e-01,-0.113069
-1.3440e-01,-0.113089
-1.3400e-01,-0.113056
-1.3360e-01,-0.112989
-1.3320e-01,-0.112605
-1.3280e-01,-0.112842
-1.3240e-01,-0.112886
-1.3200e-01,-0.112925
-1.3160e-01,-0.112898
-1.3120e-01,-0.112636
-1.3080e-01,-0.111902
-1.3040e-01,-0.113144
-1.3000e-01,-0.112291
-1.2960e-01,-0.112331
-1.2920e-01,-0.113231
-1.2880e-01,-0.113275
-1.2840e-01,-0.113423
-1.2800e-01,-0.112809
-1.2760e-01,-0.112997
-1.2720e-01,-0.113308
-1.2680e-01,-0.112838
-1.2640e-01,-0.11338
-1.2600e-01,-0.112775
-1.2560e-01,-0.112769
-1.2520e-01,-0.112877
-1.2480e-01,-0.112819
-1.2440e-01,-0.112844
-1.2400e-01,-0.113025
-1.2360e-01,-0.11305
-1.2320e-01,-0.112908
-1.2280e-01,-0.113491
-1.2240e-01,-0.112461
-1.2200e-01,-0.113513
-1.2160e-01,-0.113023
-1.2120e-01,-0.112858
-1.2080e-01,-0.112672
-1.2040e-01,-0.11308
-1.2000e-01,-0.113416
-1.1960e-01,-0.112616
-1.1920e-01,-0.112647
-1.1880e-01,-0.112738
-1.1840e-01,-0.112848
-1.1800e-01,-0.113189
-1.1760e-01,-0.113016
-1.1720e-01,-0.113138
-1.1680e-01,-0.113088
-1.1640e-01,-0.112488
-1.1600e-01,-0.112391
-1.1560e-01,-0.11338
